#-символ переноса строки, использовать вместо Entera;;;;;;;;;;
Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski;Türkçe
Deadly_Trick;Наносит удар с ~lg~+/*Weapon_Damage*/% ~/~к урону и ~lg~+/*CRT*/%~/~ к шансу крита.#Прошедший урон выжигает эквивалентное количество энергии.##После этого меняется с врагом местами, ~w~обездвиживая~/~ его на ~w~3~/~ хода. Атакующий также получает ~lg~+100%~/~ к шансу уклонения на следующий ход.##~y~Пассивный бонус:~/~#~lg~-4%~/~ к времени восст. умений ветки;Deliver a strike with ~lg~+/*Weapon_Damage*/%~/~ Damage and ~lg~+/*CRT*/%~/~ Crit Chance.#Burns Energy for the amount of Damage dealt.##You swap places with the enemy and ~w~Immobilize~/~ them for ~w~3~/~ turns. The attacker also gets ~lg~+100%~/~ Dodge Chance for the next turn.##~y~Passive bonus:~/~#~lg~-4%~/~ Cooldown Duration for this skill tree;发动一次打击，本次打击伤害~lg~+/*Weapon_Damage*/%~/~，暴击几率~lg~+/*CRT*/%~/~。#损耗与伤害数值等量的精力。##你和敌人调换位置，并令其在~w~3~/~个回合内无法移动。攻击者下一回合闪躲几率~lg~+100%~/~。##~y~被动加成：~/~#同类技能冷却时间~lg~-4%~/~;Ein Angriff mit ~lg~+/*Weapon_Damage*/%~/~ Schaden und ~lg~+/*CRT*/%~/~ krit. Chance.#Verbrennt Energie in Höhe des verursachten Schadens.##Du tauschst mit dem Gegner die Plätze und ~w~Immobilisierst~/~ sie für ~w~3~/~ Runden. Der Angreifer erhält außerdem ~lg~+100%~/~ Ausweichen-Chance für die nächste Runde.##~y~Passiver Bonus:~/~#~lg~-4%~/~ Abklingzeit für diesen Fertigkeitsbaum;;;;;Zadaje cios ~lg~+/*Weapon_Damage*/%~/~ Obrażeń oraz mający ~lg~+/*CRT*/%~/~ szansy na obr. Krytyczne.#Wypala tyle Energii, ile cios zadał obrażeń.##Atak powoduje zamienienie się pozycjami z przeciwnikiem i ~w~Unieruchamia~/~ go na ~w~3~/~ tury. Atakujący dostaje ~lg~+100%~/~ szansy na Unik w następnej turze.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka;
Coup_de_Grace;Наносит удар с ~lg~+/*Armor_Piercing*/%~/~ к пробитию брони и ~lg~+/*Weapon_Damage*/%~/~ к урону за каждый ход ~r~кровотечения~/~ и ~r~недостающий~/~ процент здоровья врага.##Если этот удар убивает цель, он не отнимает ход.##~y~Пассивный бонус:~/~#~lg~-4%~/~ к времени восст. умений ветки;Delivers a strike with ~lg~+/*Armor_Piercing*/%~/~ Armor Penetration and ~lg~+/*Weapon_Damage*/%~/~ Damage for each remaining turn of ~r~Bleeding~/~ on the enemy and each ~r~missing~/~ percent of enemy Health.##If this attack kills the target, it doesn't end turn.##~y~Passive bonus:~/~#~lg~-4%~/~ Cooldown Duration for this skill tree;发动一次打击，本次打击防具穿透和伤害获得加成：防具穿透加成为敌人~r~出血~/~状态剩余回合数与~lg~+/*Armor_Piercing*/%~/~的乘积，伤害加成为敌人所缺生命点数与~lg~+/*Weapon_Damage*/%~/~的乘积。##如果本次攻击杀死目标，回合不会结束。##~y~被动加成：~/~#同类技能冷却时间~lg~-4%~/~;Angriff mit ~lg~+/*Armor_Piercing*/%~/~ Rüstungsdurchdringung und ~lg~+/*Weapon_Damage*/%~/~ Schaden für jede verbleibende Runde von ~r~Bluten~/~ am Feind und jedes ~r~fehlende~/~ Prozent der feindlichen Gesundheit.##Wenn dieser Angriff das Ziel tötet, endet die Runde nicht. ##~y~Passiver Bonus:~/~#~lg~-4%~/~ Abklingzeit für diesen Fertigkeitsbaum;;;;;Cios zadający ~lg~+/*Armor_Piercing*/%~/~ Penetracji Pancerza oraz ~lg~+/*Weapon_Damage*/%~/~ Obrażeń za każdy punkt ~r~Krwawienia~/~ na przeciwniku oraz za każdy ~r~brakujący~/~ procent Zdrowia przeciwnika.##Jeżeli atak zabije przeciwnika, nie powoduje zakończenia tury.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka;
quick_change;Если второй вариант вооружения содержит кинжал, смена оружия не отнимает ход.##Убийства кинжалами снижают время восстановления умений ветки на ~lg~1~/~ ход.##~y~Пассивный бонус:~/~#~lg~-4%~/~ к времени восст. умений ветки#~lg~+3%~/~ к точности;If your second loadout holds a dagger, switching to it doesn't end turn.##Dagger kills decrease Cooldown Duration for this skill tree by ~lg~1~/~ turn.##~y~Passive bonus:~/~#~lg~-4%~/~ Cooldown Duration for this skill tree#~lg~+3%~/~ Accuracy;如果你另外一个武器组合含有匕首，切至这个武器组合不会结束回合。##匕首击杀之后，同类技能冷却时间减少~lg~1~/~个回合。##~y~被动加成：~/~#同类技能冷却时间~lg~-4%~/~#准度~lg~+3%~/~;Wenn deine zweite Bewaffnung einen Dolch beinhaltet, beendet das Umschalten die Runde nicht.##Dolchtötungen verrringern die Abklingzeit für diesen Fertigkeitsbaum um ~lg~1~/~ Runde.##~y~Passiver Bonus:~/~#~lg~-4%~/~ Abklingzeit für diesen Fertigkeitsbaum#~lg~+3%~/~ Genauigkeit;;;;;Jeżeli drugi zestaw broni wyposażony jest w sztylet, zmiana na zestaw ze sztyletem nie kończy tury.##Zabicia sztyletami zmniejszają Czasy Odnowienia dla tego drzewka o ~lg~1~/~ turę.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka#~lg~+3%~/~ Celności;
from_the_shadow;Атаки по ~w~неподозревающим~/~ врагам получают ~lg~+20%~/~ к урону и ~lg~+20%~/~ к пробитию брони.##~y~Пассивный бонус:~/~#~lg~-4%~/~ к времени восст. умений ветки#~lg~+5%~/~ к скрытности;Attacks against ~w~unaware~/~ enemies gain ~lg~+20%~/~ Damage and ~lg~+20%~/~ Armor Piercing.##~y~Passive bonus:~/~#~lg~-4%~/~ Cooldown Duration for this skill tree#~lg~+5%~/~ Stealth;攻击~w~没有察觉~/~的敌人，此类攻击伤害~lg~+20%~/~，防具穿刺~lg~+20%~/~。##~y~被动加成：~/~#同类技能冷却时间~lg~-4%~/~#潜行~lg~+5%~/~;Angriffe gegen ~w~ahnungslose~/~ Gegner erzielen ~lg~+20%~/~ Schaden und ~lg~+20%~/~ Rüstungsdurchdringung.##~y~Passiver Bonus:~/~#~lg~-4%~/~ Abklingzeit für diesen Fertigkeitsbaum#~lg~+5%~/~ Schleichen;;;;;Ataki wymierzone w ~w~niespodziewających~/~ się przeciwników zadają ~lg~+20%~/~ Obrażeń i mają ~lg~+20%~/~ Przebicia Pancerza.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka#~lg~+5%~/~ Skradania się;
counterattack_mastery;Удары кинжалами дают ~lg~+4%~/~ к шансу контрудара на ~w~5~/~ ходов.#Эффект суммируется.##~y~Пассивный бонус:~/~#~lg~-4%~/~ к времени восст. умений ветки#~lg~+3%~/~ к шансу контрудара;Dagger attacks grant you ~lg~+4%~/~ Counter Chance for ~w~5~/~ turns.#This effect stacks.##~y~Passive bonus:~/~#~lg~-4%~/~ Cooldown Duration for this skill tree#~lg~+3%~/~ Counter Chance;匕首攻击令你反击几率~lg~+4%~/~，效果持续~w~5~/~个回合。#这个效果可以叠加。##~y~被动加成：~/~#同类技能冷却时间~lg~-4%~/~#反击几率~lg~+3%~/~;Dolchangriffe gewähren dir ~lg~+4%~/~ Kontern-Chance für ~w~5~/~ Runden.#Dieser Effekt stapelt sich.##~y~Passiver Bonus:~/~#~lg~-4%~/~ Abklingzeit für diesen Fertigkeitsbaum#~lg~+3%~/~ Kontern-Chance;;;;;Ataki sztyletami dają ~lg~+4%~/~ szansy na Kontrę przez ~w~5~/~ tur.#Efekt potęguje się.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka#~lg~+3%~/~ szansy na Kontrę;
weakening_jabs;Наносящие урон удары кинжалов дают цели ~r~+4%~/~ к получаемому урону и ~r~+5%~/~ к длительности восст. спососбностей на ~w~6~/~ ходов.#Эффект суммируется.##~y~Пассивный бонус:~/~#~lg~-3%~/~ к времени восст. умений ветки#~lg~+5%~/~ к урону оружия;Successful dagger attacks apply ~r~+4%~/~ Damage Taken and ~r~+5%~/~ Cooldown Duration for ~w~6~/~ turns.#This effect stacks.##~y~Passive bonus:~/~#~lg~-3%~/~ Cooldown Duration for this skill tree#~lg~+5%~/~ Weapon Damage;匕首成功攻击会令目标所受伤害~r~+4%~/~，能力冷却时间~r~+5%~/~，效果持续~w~6~/~个回合。#这个效果可以叠加。##~y~被动加成：~/~#同类技能冷却时间~lg~-3%~/~#武器伤害~lg~+5%~/~;Erfolgreiche Dolchangriffe wenden ~r~+4%~/~ Erlittener Schaden und ~r~+5%~/~ Abklingzeit für ~w~6~/~ Runden an.#Dieser Effekt stapelt sich.##~y~Passiver Bonus:~/~#~lg~-3%~/~ Abklingzeit für diesen Fertigkeitsbaum#~lg~+5%~/~ Waffenschaden;;;;;Celne trafienia sztyletami nakładają przeciwnikowi efekt ~r~+4%~/~ otrzymywanych Obrażeń oraz ~r~+5%~/~ zwiększa Czasy Odnowień na ~w~6~/~ tur.#Ten efekt się potęguje.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka#~lg~+5%~/~ Obrażeń Broni;
dance_of_death;Критические удары кинжалами получают ~lg~+10%~/~ к похищению жизни.##~y~Пассивный бонус:~/~#~lg~-3%~/~ к времени восст. умений ветки#~lg~+5%~/~ к шансу крита;Critical strikes with daggers have ~lg~+10%~/~ Life Drain.##~y~Passive bonus:~/~#~lg~-3%~/~ Cooldown Duration for this skill tree#~lg~+5%~/~ Crit Chance;匕首暴击获得~lg~+10%~/~的生命吸取。##~y~被动加成：~/~#同类技能冷却时间~lg~-3%~/~#暴击几率~lg~+5%~/~;Kritische Treffer mit Dolchen bewirken ~lg~+10%~/~ Lebensentzug.##~y~Passiver Bonus:~/~#~lg~-3%~/~ Abklingzeit für diesen Fertigkeitsbaum#~lg~+5%~/~ Krit. Chance;;;;;Obrażenia krytyczne zadane sztyletami mają ~lg~+10%~/~ Wykradania Zdrowia.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka#~lg~+5%~/~ szansy na obr. Krytyczne;
;;;;;;;;;;
;///// ДВ. МЕЧИ;;;;;;;;;
;;;;;;;;;;
Feint_Swing;Уменьшает до ~r~0%~/~ шансы уклонения, контрудара и блока выбранному врагу.##После этого наносит удар с ~lg~+/*Hit_Chance*/%~/~ к точности и ~r~/*Weapon_Damage*/%~/~ к урону.##~y~Пассивный бонус:~/~#~lg~-4%~/~ к времени восст. умений ветки;Targeted enemy has their Dodge, Counter and Block Chance set to ~r~0%~/~.##After that deliver a strike with ~lg~+/*Hit_Chance*/%~/~ Accuracy and ~r~/*Weapon_Damage*/%~/~ Damage.##~y~Passive bonus:~/~#~lg~-4%~/~ Cooldown Duration for this skill tree;目标敌人闪躲几率、反击几率和格挡几率归零。##然后发动一次打击，本次打击准度~lg~+/*Hit_Chance*/%~/~，造成~r~/*Weapon_Damage*/%~/~点伤害。##~y~被动加成：~/~#同类技能冷却时间~lg~-4%~/~;Die Ausweichen-, Konter- und Blocken-Chance eines Gegners wird auf ~r~0%~/~ gesetzt.##Danach erfolgt ein Angriff mit ~lg~+/*Hit_Chance*/%~/~ Genauigkeit und ~r~/*Weapon_Damage*/%~/~ Schaden.##~y~Passiver Bonus:~/~#~lg~-4%~/~ Abklingzeit für diesen Fertigkeitsbaum;;;;;Wybrany przeciwnik ma zmniejszoną szansę na Unik, Kontrę i Blok do ~r~0%~/~.##Następnie atak ma ~lg~+/*Hit_Chance*/%~/~ Celności oraz ~r~/*Weapon_Damage*/%~/~ Obrażeń.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasó odnowienia dla zdolności tego drzewka;
Steel_Feast;Активирует эффект на ~w~4~/~ хода:##~lg~+100%~/~ к шансу крита физических атак#~lg~+10%~/~ к точности#~r~-25%~/~ к урону#~r~-25%~/~ к эффективности критов.##Убийства увеличивают длительность эффекта на ~lg~2~/~ хода.##~y~Пассивный бонус:~/~#~lg~-4%~/~ к времени восст. умений ветки;Activates the following effect for ~w~4~/~ turns:##~lg~+100%~/~ Crit Chance for physical attacks#~lg~+10%~/~ Accuracy#~r~-25%~/~ Damage#~r~-25%~/~ Crit Effectiveness.##Killing enemies prolongs the duration of this effect by ~lg~2~/~ turns.##~y~Passive bonus:~/~#~lg~-4%~/~ Cooldown Duration for this skill tree;触发以下效果，持续~w~4~/~个回合：暴击几率##~lg~+100%~/~#准度~lg~+10%~/~#伤害~r~-25%~/~#暴击效果~r~-25%~/~##击杀敌人会令这个效果持续时间延长~lg~2~/~个回合。##~y~被动加成：~/~#同类技能冷却时间~lg~-4%~/~;Aktiviert den folgenden Effekt für ~w~4~/~ Runden:##~lg~+100%~/~ Krit. Chance für phys. Angriffe#~lg~+10%~/~ Genauigkeit#~r~-25%~/~ Schaden#~r~-25%~/~ Krit. Effizienz.##Das Töten von Feinden verlängert die Dauer des Effekts um ~lg~2~/~ Runden.##~y~Passiver Bonus:~/~#~lg~-4%~/~ Abklingzeit für diesen Fertigkeitsbaum;;;;;Aktywuje następujące efekty na ~w~4~/~ tury:##~lg~+100%~/~ szansy na obr. Krytyczne (obr. Fizyczne)#~lg~+10%~/~ Celności#~r~-25%~/~ Obrażeń#~r~-25%~/~ skuteczności obr. Krytycznych.##Zabijanie przeciwników przedłuża efekty o ~lg~2~/~ tury.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka;
Heroic_Charge;Совершает рывок к цели и наносит по ней удар.##Каждая преодолённая рывком клетка дает этому удару ~lg~+/*Weapon_Damage*/%~/~ к урону и ~lg~+/*CRT*/%~/~ к шансу крита.##~y~Пассивный бонус:~/~#~lg~-4%~/~ к времени восст. умений ветки;Rushes towards the target to deliver a strike.##Each traveled tile adds ~lg~+/*Weapon_Damage*/%~/~ Damage and ~lg~+/*CRT*/%~/~ Crit Chance.##~y~Passive bonus:~/~#~lg~-4%~/~ Cooldown Duration for this skill tree;冲向目标，发动一次打击。##伤害和暴击几率获得加成，伤害加成为所经方格数量与~lg~+/*Weapon_Damage*/%~/~的乘积，暴击几率为所经方块数量与~lg~+/*CRT*/%~/~的乘积。##~y~被动加成：~/~#同类技能冷却时间~lg~-4%~/~;Stürmt auf das Ziel zu, um einen Angriff auszuführen.##Jedes dabei durchquerte Feld fügt ~lg~+/*Weapon_Damage*/%~/~ Schaden und ~lg~+/*CRT*/%~/~ Krit. Chance hinzu.##~y~Passiver Bonus:~/~#~lg~-4%~/~ Abklingzeit für diesen Fertigkeitsbaum;;;;;Wyskok w stronę przeciwnika.##Każde pokonane pole dodaje ~lg~+/*Weapon_Damage*/%~/~ Obrażeń oraz ~lg~+/*CRT*/%~/~szansy na obr. Krytyczne.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka;
Riposte;Активирует эффект на ~w~8~/~ ходов:##~lg~+12.5%~/~ к шансу блока#~lg~+10%~/~ к силе блока##Каждый заблокированный удар продлевает длительность эффекта на ~lg~1~/~ ход, увеличивает его степень вплоть до ~w~4-й~/~, а также гарантировано провоцирует ~w~контратаку~/~.##~y~Пассивный бонус:~/~#~lg~-4%~/~ к времени восст. умений ветки;Activates the following effect for ~w~8~/~ turns:##~lg~+12.5%~/~ Block Chance#~lg~+10%~/~ Block Power##Each successful Block prolongs the duration of this effect by ~lg~1~/~ and grants an extra stack of it (up to ~w~4~/~) and also guarantees to trigger a ~w~Counterattack~/~.##~y~Passive bonus:~/~#~lg~-4%~/~ Cooldown Duration for this skill tree;触发以下效果，持续~w~8~/~个回合：格挡几率##~lg~+12.5%~/~#格挡效果~lg~+10%~/~##每次格挡成功会令这个效果持续时间延长~lg~1~/~个回合，还会叠加~lr~1~/~层（最多~w~4~/~层），而且必定触发~w~反击~/~。##~y~被动加成：~/~#同类技能冷却时间~lg~-4%~/~;Aktiviert den folgenden Effekt für ~w~8~/~ Runden:##~lg~+12.5%~/~ Blocken-Chance#~lg~+10%~/~ Blocken-Stärke##Jedes erfolgreiche Blocken verlängert die Dauer dieses Effekts um ~lg~1~/~ und gewährt einen zusätzlichen Stapel davon (bis zu ~w~4~/~) und garantiert außerdem das Auslösen eines ~w~Konters~/~.##~y~Passiver Bonus:~/~#~lg~-4%~/~ Abklingzeit für diesen Fertigkeitsbaum;;;;;Aktywuje poniższe efekty na ~w~8~/~ tury:##~lg~+12.5%~/~ szansy na Blok#~lg~+10%~/~ Siły Zablokowania##Każdy udany Blok przedłuża efekty o ~lg~1~/~ turę i dodaje punkt potęgowania efektu (do ~w~4~/~) oraz gwarantuje ~w~Kontrę~/~.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka;
Arc_Cleave;Наносит удар с ~lg~+/*Weapon_Damage*/%~/~ к урону и ~lg~+/*Bleeding_Chance*/%~/~ к шансу кровотечения всем врагам на ~w~5~/~ соседних клетках.##Уменьшает время восстановления остальных умений ветки на ~lg~1~/~ ход за каждого задетого врага.##~y~Пассивный бонус:~/~#~lg~-4%~/~ к времени восст. умений ветки;Delivers a strike with ~lg~+/*Weapon_Damage*/%~/~ Damage and ~lg~+/*Bleeding_Chance*/%~/~ Bleed Chance to ~w~5~/~ adjacent enemies.##Reduces Cooldown Duration for this skill tree by ~lg~1~/~ turn for each enemy hit.##~y~Passive bonus:~/~#~lg~-4%~/~ Cooldown Duration for this skill tree;向临近的~w~5~/~个敌人发动一次打击，本次打击伤害~lg~+/*Weapon_Damage*/%~/~，出血几率~lg~+/*Bleeding_Chance*/%~/~。##每击中一个敌人，同类技能冷却时间减少~lg~1~/~个回合。##~y~被动加成：~/~#同类技能冷却时间~lg~-4%~/~;Ein Angriff mit ~lg~+/*Weapon_Damage*/%~/~ Schaden und ~lg~+/*Bleeding_Chance*/%~/~ Bluten-Chance ~w~5~/~ bei benachbarten Gegnern.##Verringert die Abklingzeit für diesen Fertigkeitsbaum um ~lg~1~/~ Runde für jeden getroffenen Gegner.##~y~Passiver Bonus:~/~#~lg~-4%~/~ Abklingzeit für diesen Fertigkeitsbaum;;;;;Zadaje cios ~lg~+/*Weapon_Damage*/%~/~ Obrażeń z ~lg~+/*Bleeding_Chance*/%~/~ szansą na Krwawienie w ~w~5~/~ przeciwników na pobliskich polach.##Zmniejsza Czasy Odnowień o ~lg~1~/~ turę za każdego trafionego przeciwnika.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka;
recklessness;Каждый враг на соседней клетке даёт ~lg~+5%~/~ к шансу крита и ~lg~+5%~/~ к шансу контрудара.##~y~Пассивный бонус:~/~#~lg~-4%~/~ к времени восст. умений ветки#~lg~+5%~/~ к шансу блока;Each adjacent enemy grants ~lg~+5%~/~ Crit Chance and ~lg~+5%~/~ Counter Chance.##~y~Passive bonus:~/~#~lg~-4%~/~ Cooldown Duration for this skill tree#~lg~+5%~/~ Block Chance;每有一个临近敌人，暴击几率便~lg~+5%~/~，反击几率便~lg~+5%~/~。##~y~被动加成：~/~#同类技能冷却时间~lg~-4%~/~#格挡几率~lg~+5%~/~;Jeder benachbarte Gegner gewährt ~lg~+5%~/~ Krit. Chance und ~lg~+5%~/~ Kontern-Chance.##~y~Passiver Bonus:~/~#~lg~-4%~/~ Abklingzeit für diesen Fertigkeitsbaum#~lg~+5%~/~ Blocken-Chance;;;;;Każdy przeciwnik na pobliskim polu daje ~lg~+3%~/~ szansy na obr. Krytyczne oraz ~lg~+3%~/~ szansy na Kontrę.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka#~lg~+5%~/~ szansy na Blok;
courage;Моментально восстанавливает ~lg~Героический рывок~/~, если он убивает цель.##Увеличивает его максимальную дальность на ~lg~1~/~ клетку.##~y~Пассивный бонус:~/~#~lg~-4%~/~ к времени восст. умений ветки#~lg~+5%~/~ к регенерации энергии;Instantly refreshes the Cooldown of ~lg~Heroic charge~/~ if it manages to kill its target.##The Ability Range is increased by ~lg~1~/~ tile.##~y~Passive bonus:~/~#~lg~-4%~/~ Cooldown Duration for this skill tree#~lg~+5%~/~ Energy Restoration;如果~lg~英勇冲锋~/~杀死目标，立刻结束其冷却。##能力距离增加~lg~1~/~个方格。##~y~被动加成：~/~#同类技能冷却时间~lg~-4%~/~#精力自动恢复~lg~+5%~/~;Setzt sofort die Abklingzeit von ~lg~Heroischer Angriff~/~ zurück, wenn es ihm gelingt sein Ziel zu töten.##Die Fertigkeitsreichweite wird um ~lg~1~/~ Feld erhöht.##~y~Passiver Bonus:~/~#~lg~-4%~/~ Abklingzeit für diesen Fertigkeitsbaum#~lg~+5%~/~ Energieregeneration;;;;;Natychmiast odnawia Czas Odnowienia dla ~lg~Heroicznej Szarży~/~ jeżeli zdolność zabije cel.##Zasięg zdolnosci jest powiększony o ~lg~1~/~ pole.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka#~lg~+5%~/~ Odnawiania Energii;
fight_to_death;~w~Пиршество стали~/~ также уменьшает время восстановления умений ветки на ~lg~3~/~ хода за каждого убитого врага. ##~y~Пассивный бонус:~/~#~lg~-4%~/~ к времени восст. умений ветки#~lg~+5%~/~ к точности;~w~Feast of Steel~/~ also reduces Cooldown Duration for this skill tree by ~lg~3~/~ turns for each enemy killed. ##~y~Passive bonus:~/~#~lg~-4%~/~ Cooldown Duration for this skill tree#~lg~+5%~/~ Accuracy;每击杀一个敌人，~w~刀剑无情~/~便会令同类技能冷却时间减少~lg~3~/~个回合。##~y~被动加成：~/~#同类技能冷却时间~lg~-4%~/~#准度~lg~+5%~/~;~w~Festmahl des Stahls~/~ reduziert auch die Abklingzeit für diesen Fertigkeitsbaum um ~lg~3~/~ Runden für jeden getöteten Gegner. ##~y~Passiver Bonus:~/~#~lg~-4%~/~ Abklingzeit für diesen Fertigkeitsbaum#~lg~+5%~/~ Genauigkeit;;;;;~w~Uczta Stali~/~ zmniejsza Czasy Odnowień tego drzewka o ~lg~3~/~ tury za każdego zabitego przeciwnika. ##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka#~lg~+5%~/~ Celności;
taste_of_victory;Враги, убитые двуручными мечами, восполняют ~bl~7.5%~/~ запаса энергии.##~y~Пассивный бонус:~/~#~lg~-4%~/~ к времени восст. умений ветки#~lg~+10~/~ к запасу энергии;Killing enemies with greatswords replenishes ~bl~7.5%~/~ of your Max Energy.##~y~Passive bonus:~/~#~lg~-4%~/~ Cooldown Duration for this skill tree#~lg~+10~/~ Max Energy;大剑击杀敌人会令你恢复精力上限~bl~7.5%~/~的精力。##~y~被动加成：~/~#同类技能冷却时间~lg~-4%~/~#精力上限~lg~+10~/~;Das Töten von Gegnern mit Großschwertern füllt ~bl~7,5%~/~ deiner max. Energie auf.##~y~Passiver Bonus:~/~#~lg~-4%~/~ Abklingzeit für diesen Fertigkeitsbaum#~lg~+10~/~ max. Energie;;;;;Zabicie przeciwnika wielkim mieczem odnawia ~bl~7.5%~/~ Maksymalnej Energii.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka#~lg~+10~/~ Maksymalnej Energii;
revanche;Пока ~w~Парирование~/~ активно, каждый заблокированный удар будет давать ~lg~-25%~/~ к затратам на умения на ~w~2~/~ хода.##~y~Пассивный бонус:~/~#~lg~-4%~/~ к времени восст. умений ветки#~lg~+5%~/~ к шансу контрудара;While ~w~Parry~/~ is active, each successful block grants ~lg~-25%~/~ Abilities Cooldown for the next two turns.##~y~Passive bonus:~/~#~lg~-4%~/~ Cooldown Duration for this skill tree#~lg~+5%~/~ Counter Chance;~w~招架~/~生效期间，每次格挡成功可令下面两个回合的能力冷却时间~lg~-25%~/~。##~y~被动加成：~/~#同类技能冷却时间~lg~-4%~/~#反击几率~lg~+5%~/~;Während ~w~Parieren~/~ aktiv ist, gewährt jedes erfolgreiche Blocken ~lg~-25%~/~ Abklingzeit der Fertigkeiten für die nächsten zwei Runden.##~y~Passiver Bonus:~/~#~lg~-4%~/~ Abklingzeit für diesen Fertigkeitsbaum#~lg~+5%~/~ Kontern-Chance;;;;;Kiedy ~w~Parowanie~/~ jest aktywne, każdy udany Blok daje ~lg~-25%~/~ Czasów Odnowień dla zdolności.##~y~Bonus pasywny:~/~#~lg~-4%~/~ Czasów odnowienia dla zdolności tego drzewka#~lg~+5%~/~ szansy na Kontrę;
;;;;;;;;;;
;///// ПОСОХИ;;;;;;;;;
;;;;;;;;;;
Hail_of_Blows;Наносит два удара с ~r~/*Weapon_Damage*/%~/~ урона. Первый удар получает ~lg~+/*Energy_Steal*/%~/~ к похищению энергии, а второй ~lg~+/*Daze_Chance*/%~/~ к шансу ошеломления.##Если обе атаки попадают в цель, наносит третий удар с ~r~/*Weapon_Damage*/%~/~ урона и ~lg~+/*Knockback_Chance*/%~/~ к шансу отбрасывания.##~y~Пассивный бонус:~/~#~lg~-5%~/~ к времени восст. умений ветки;Strikes two times with ~r~/*Weapon_Damage*/%~/~ Damage. The first attack has ~lg~+/*Energy_Steal*/%~/~ Energy Drain, the second attack attack has ~lg~+/*Daze_Chance*/%~/~ Daze Chance.##If both attacks connect, strikes for the third time with ~r~/*Weapon_Damage*/%~/~ Damage and ~lg~+/*Knockback_Chance*/%~/~ Knockback Chance.##~y~Passive bonus:~/~#~lg~-5%~/~ Cooldown Duration for this skill tree;打击两次，两次均造成~r~/*Weapon_Damage*/%~/~点伤害。第一次精力吸取~lg~+/*Energy_Steal*/%~/~，第二次击晕几率~lg~+/*Daze_Chance*/%~/~。##如果两次打击均接触目标，额外发动一次打击，造成 ~r~/*Weapon_Damage*/%~/~点伤害，并且击退几率~lg~+/*Knockback_Chance*/%~/~。##~y~被动加成：~/~#同类技能冷却时间~lg~-5%~/~;Zwei Angriffe mit ~r~/*Weapon_Damage*/%~/~ Schaden. Der erste Angriff bewirkt ~lg~+/*Energy_Steal*/%~/~ Energieentzug, der zweite Angriff bewirkt ~lg~+/*Daze_Chance*/%~/~ Benommen-Chance.##Wenn beide Angriffe erfolgreich sind, erfolgt ein dritter Angriff mit ~r~/*Weapon_Damage*/%~/~ Schaden und ~lg~+/*Knockback_Chance*/%~/~ Zurückstoßen-Chance.##~y~Passiver Bonus:~/~#~lg~-5%~/~ Abklingzeit für diesen Fertigkeitsbaum;;;;;Atak dwukrotny zadający ~r~/*Weapon_Damage*/%~/~ Obrażeń. Pierwszy cios daje ~lg~+/*Energy_Steal*/%~/~ Wykradania Energii, drugi daje ~lg~+/*Daze_Chance*/%~/~ szansy na Dezorientację.##Jeżeli oba ataki są skuteczne zdolność powoduje trzeci cios zadający ~r~/*Weapon_Damage*/%~/~ Obrażeń oraz mający ~lg~+/*Knockback_Chance*/%~/~ szansy na Odrzucenie.##~y~Bonus pasywny:~/~#~lg~-5%~/~ Czasów odnowienia dla zdolności tego drzewka;
