«;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski;
;char_name;char_name;char_name;char_name;;;;char_name;
Verren;Веррен;Verren;维伦;Verren;;;;Verren;
Jorgrim;Йоргрим;Jorgrim;约戈里姆;Jorgrim;;;;Jorgrim;
Arna;Арна;Arna;阿娜;Arna;;;;Arna;
Dirwin;Дирвин;Dirwin;德温;Dirwin;;;;Dirwin;
Jonna;Йонна;Jonna;约娜;Jonna;;;;Jonna;
;char_name_end;char_name_end;char_name_end;char_name_end;;;;char_name_end;
;;;;;;;;;
;race_desc;race_desc;race_desc;race_desc;;;;race_desc;
Human;Несмотря на общую культуру, люди Альдора как никогда разобщены - множество сословных и политических противоречий привели к затяжной гражданской войне, остановленной шатким перемирием.;Apesar de compartilharem uma cultura comum, os humanos de Aldor estao agora mais divididos do que nunca. Uma multidao de conflitos poli�ticos entre suas propriedades leva o pai�s a uma guerra civil prolongada, mal contida por uma tregua instavel.##Diferentes racas nao oferecem vantagens ou desvantagens,  em vez disso, proporcionam origens etnicas.;奥尔多的人族尽管文化相同，但现在却四分五裂。由于各地政治冲突四起，整个国家陷入旷日持久的内战，目前仅靠脆弱的休战协议维持。##各个种族并没有优劣之分，只是出身不同。;Trotz einer gemeinsamen Kultur sind die Menschen in Aldor heute gespaltener denn je. Eine Vielzahl politischer Konflikte zwischen den Ständen führt das Land in einen langen Bürgerkrieg, der kaum durch einen wackeligen Waffenstillstand eingedämmt wird.##Die verschiedenen Rassen bieten keine Vor- oder Nachteile, sondern bieten stattdessen eine einzigartige Herkunft.;;;;Mimo tego, że ludzi żyjących w Aldor łączy wspólna kultura, dziś są mocniej podzieleni niż kiedykolwiek wcześniej. Ciągłe polityczne podziały i konflikty doprowadziły państwa ludzi do wojen domowych, ledwie zażegnane przez chwiejny rozejm.##Inne rasy nie dają żadnych pozytywnych lub negatywnych cech, jedynie unikalne pochodzenie.;
Dwarf;Дварфы - исконные обитатели Фьялльских гор. Этот суровый полуварварский народ заработал в Альдоре дурную славу своими постоянными набегами.;Anoees sao nativos das montanhas Fjall. Essas pessoas severas e semi-barbaras ganharam uma reputacao ruim em Aldor devido as  constantes invasoees.##Diferentes racas nao oferecem vantagens ou desvantagens,  em vez disso, proporcionam origens etnicas.;矮人住在菲欧山脉。这个民族不苟言笑，还有一些野蛮。他们因为时常抢劫，所以在奥尔多的名声不好。##各个种族没有优劣之分，只是出身不同。;Zwerge sind im Fjallgebirge heimisch. Dieses strenge, halbwüchsige Volk hat sich in Aldor durch ständige Raubzüge einen schlechten Ruf erworben.##Die verschiedenen Rassen bringen keine Vor- oder Nachteile mit sich, sondern bieten eine einzigartige Herkunft.;;;;Krasnoludy to rdzenni mieszkańcy gór Fjall. Ci prości pół-barbarzyńcy zdobyli sobie złą reputację w Aldor przez regularne najazdy.##Inne rasy nie dają żadnych pozytywnych lub negatywnych cech, jedynie unikalne pochodzenie.;
Elf;Эльфы населяют обширные земли Яхонтовых царств. Небольшая эльфийская диаспора есть и в Альдоре - однако к ней тут относятся настороженно, считая чужаками и заговорщиками.;Os Elfos habitam vastas terras dos Reinos de Jacinth. Existe uma pequena diaspora Elfica tambem em Aldor, mas eles sao tratados com cautela, considerados como forasteiros e manipuladores..##Diferentes racas nao oferecem vantagens ou desvantagens,  em vez disso, proporcionam origens etnicas.;精灵住在地大物博的红锆王国，还有一小部分散落在奥尔多。不过，奥尔多人将这些精灵视为外族，认为他们心怀不轨，所以对他们不算友好。##各个种族没有优劣之分，只是出身不同。;Elfen bewohnen weite Landstriche der Jacinthischen Königreiche. Es gibt auch eine kleine elfische Diaspora in Aldor, aber sie werden mit Vorsicht behandelt, als Außenseiter und Intriganten angesehen.##Die verschiedenen Rassen bringen keine Vor- oder Nachteile mit sich, sondern bieten stattdessen eine einzigartige Herkunft.;;;;Elfy zamieszkują odległe tereny Królestwa Jacinth. W Aldor istnieje mała diaspora elfów, jednak wszyscy podchodzą do nich z ostrożnością - uznając ich za wyrzutków i intrygantów.##Inne rasy nie dają żadnych pozytywnych lub negatywnych cech, jedynie unikalne pochodzenie.;
;race_desc_end;race_desc_end;race_desc_end;race_desc_end;;;;race_desc_end;
;;;;;;;;;
;race_name;race_name;race_name;race_name;;;;race_name;
Human;Человек (Альдор);Humano (Aldor);人族（奥尔多）;Mensch (Aldor);;;;Człowiek (Aldor);
Dwarf;Дварф;Anao;矮人;Zwerg;;;;Krasnolud;
Elf;Эльф;Elfo;精灵;Elf;;;;Elf;
;race_name_end;race_name_end;race_name_end;race_name_end;;;;race_name_end;
;;;;;;;;;
;sex_desc;sex_desc;sex_desc;sex_desc;;;;sex_desc;
Male;Пол влияет на некоторые диалоговые опции.;O genero pode mudar alguns dialogos.;有些对话会因人物性别而异。;Das Geschlecht kann einige der Dialoge verändern.;;;;Płeć może zmienić część dialogów.;
Female;Пол влияет на некоторые диалоговые опции.;O genero pode mudar alguns dialogos..;有些对话会因人物性别而异。;Das Geschlecht kann einige der Dialoge verändern.;;;;Płeć może zmienić część dialogów.;
;sex_desc_end;sex_desc_end;sex_desc_end;sex_desc_end;;;;sex_desc_end;
;;;;;;;;;
;sex_name;sex_name;sex_name;sex_name;;;;sex_name;
Male;Мужчина;Masculino;男;Männlich;;;;Mężczyzna;
Female;Женщина;Feminino;女;Weiblich;;;;Kobieta;
;sex_name_end;sex_name_end;sex_name_end;sex_name_end;;;;sex_name_end;
;;;;;;;;;
;psychic_name;psychic_name;psychic_name;psychic_name;;;;psychic_name;
1;Оптимизм;Otimismo;乐观;Optimismus;;;;Optymizm;
2;Героизм;Hero�smo;勇敢;Heldentum;;;;Heroizm;
3;Второе дыхание;Segundo Vento;元气恢复;Zweiter Wind;;;;Druga Szansa;
4;Благоразумие;Prud�ncia;慎重;Besonnenheit;;;;Roztropność;
5;Мегаломания;Megalomania;自大;Megalomanie;;;;Megalomania;
6;Садизм;Sadismo;虐待狂;Sadismus;;;;Sadyzm;
7;Мазохизм;Masoquismo;受虐狂;Masochismus;;;;Masochizm;
8;Ярость;Frenesi;狂乱;Raserei;;;;Szał;
9;Апатия;Apatia;漠然;Apathie;;;;Apatia;
10;Тревога;Ansiedade;焦虑;Angst;;;;Niepokój;
11;Отчаяние;Desespero;绝望;Verzweiflung;;;;Desperacja;
12;Ипохондрия;Hipocondria;疑病症;Hypochondrie;;;;Hipochondria;
;psychic_name_end;psychic_name_end;psychic_name_end;psychic_name_end;;;;psychic_name_end;
;;;;;;;;;
;psychic_mid_text;psychic_mid_text;psychic_mid_text;psychic_mid_text;;;;psychic_mid_text;
1;None;Nenhum;None;None;;;;None;
2;None;Nenhum;None;None;;;;None;
3;Здоровье и энергия восполнены.#Все физические и ментальные негативные эффекты временно сброшены.;Saaude e energia sao reabastecidas.#Todos os efeitos negativos do seu status estao temporariamente negados.;生命和精力恢复。#所有负面状态的效果暂时抵消。;Gesundheit und Energie werden wieder aufgefüllt.#Alle negativen Statuseffekte werden vorübergehend negiert.;;;;Zdrowie i Energia zostają odnowione.#Wszystkie negatywne efekty są tymczasowo wstrzymane.;
4;None;None;None;None;;;;None;
5;Вы несколько переоцениваете собственные силы.;Voce pode estar superestimando suas habilidades.;你可能高估了自己的实力。;Vielleicht überschätzt du deine Fähigkeiten.;;;;Być może przeceniasz swoje umiejętności.;
6;None;None;None;None;;;;None;
7;Чем больше уровень боли, тем меньше энергии тратят умения.#Боль восстанавливает энергию в конце хода.;Quanto maior a sua dor, menos energia voce gasta em suas habilidades.#A dor restaura a energia no final de cada turno.;你越痛苦，能力消耗的精力越少。#每个回合结束时，痛苦会恢复精力。;Je höher dein Schmerz ist, desto weniger Energie wendest du für deine Fertigkeiten auf.#Schmerz stellt am Ende jeder Runde Energie wieder her.;;;;Im silniejszy ból tym mniej Energii zużywasz na swoje zdolności.#Ból regeneruje energię na koniec każdej tury.;
8;None;None;None;None;;;;None;
9;None;None;None;None;;;;None;
10;None;None;None;None;;;;None;
11;None;None;None;None;;;;None;
12;None;None;None;None;;;;None;
;psychic_mid_text_end;psychic_mid_text_end;psychic_mid_text_end;psychic_mid_text_end;;;;psychic_mid_text_end;
;;;;;;;;;
;;;;;;;;;
;psychic_info;psychic_info;psychic_info;psychic_info;;;;psychic_info;
1;None;None;None;None;;;;None;
2;None;None;None;None;;;;None;
3;None;None;None;None;;;;None;
4;None;None;None;None;;;;None;
5;None;None;None;None;;;;None;
6;None;None;None;None;;;;None;
7;None;None;None;None;;;;None;
8;None;None;None;None;;;;None;
9;None;None;None;None;;;;None;
10;None;None;None;None;;;;None;
11;None;None;None;None;;;;None;
12;None;None;None;None;;;;None;
;psychic_info_end;psychic_info_end;psychic_info_end;psychic_info_end;;;;psychic_info_end;
;;;;;;;;  ;
;psychic_desc;psychic_desc;psychic_desc;psychic_desc;;;;psychic_desc;
1;Главное - верить в себя.;Acreditar em si mesmo e a coisa mais importante.;人最重要的就是相信自己。;Der Glaube an sich selbst ist das Wichtigste.;;;;Wiara w siebie to najważniejsza sprawa.;
2;Вы чувствуете, как в вас закипает праведный гнев.;Voce sente a furia justa subindo dentro de voce.;你感觉正义的愤怒在自己体内升腾。;Du fühlst, wie die Wut der Rechtschaffenheit in dir aufsteigt.;;;;Czujesz, jak rośnie w tobie sprawiedliwa furia.;
3;Гибель? Только не сегодня!;Morte certa? Hoje nao!;我的死期还没到！;Gewisses Verderben? Heute nicht!;;;;Pewny zgon? Nie tym razem!;
4;Иногда выдержка и осторожность куда полезней отваги.;As vezes, paciencia e cautela sao muito mais uteis do que coragem.;耐心和谨慎有时候比勇气更重要。;Manchmal sind Geduld und Vorsicht viel hilfreicher als Mut.;;;;Czasami cierpliwość i ostrożność są o wiele bardziej pomocne niż odwaga.;
5;Вы внезапно осознали всё свое великолепие.;De repente voce percebe a sua magnificencia real.;你突然感觉自己其实十分强大。;Du erkennst plötzlich deine eigentliche Großartigkeit;;;;Nagle uświadamiasz sobie swoją prawdziwą wspaniałość.;
6;Вы находите извращенное удовольствие в причинении страданий.;Voce tem prazer perverso no sofrimento dos outros.;他人痛苦会令你产生不合常理的快感。;Du hast eine perverse Freude am Leiden anderer.;;;;Czujesz perwersyjną przyjemność, kiedy inni cierpią.;
7;Вы без ума от боли.;Voce esta louco de dor.;你沉迷疼痛，不能自拔。;Du bist verrückt nach Schmerzen.;;;;Czujesz szaleną przyjemność odczuwając ból.;
8;Последнее, что вы помните - это кровь, приливающая к голове.;A �ltima coisa que voce lemba e sangue correndo para sua cabeca.;血液涌入你的大脑，后面的事情你完全不记得了。;Das Letzte, woran du dich erinnerst, ist das Blut, das dir in den Kopf schießt.;;;;Ostatnie, co pamiętasz to napływającą do głowy krew.;
9;Как будто в один миг жизнь лишилась всех красок.;Como se em uma unica vida instantanea perdeu suas cores.;这具躯体的苦痛似乎与你无关。;Als hätte das Leben in einem einzigen Augenblick seine Farben verloren.;;;;Jakby w ciągu jednej chwili życie straciło kolory.;
10;Вам кажется, будто скоро случится нечто ужасное...;Voce sente que algo terr�vel est� para acontecer ...;你总感觉马上就要出什么事情……;Du hast das Gefühl, dass etwas Schreckliches passieren wird...;;;;Czujesz jakby lada moment miało stać się coś bardzo złego...;
11;Всё кончено. Впереди только гибель, и вы прекрасно это осознаете.;Esta tudo acabado. Somente mentiras mortas em frente, voc� v� claramente agora.;完了，前方只有死亡，它好像正在向你挥手。;Es ist alles vorbei. Nur der Tod liegt noch vor uns, das siehst du jetzt deutlich.;;;;To koniec. Przed sobą widzisz nieuniknioną śmierć.;
12;Мысли о том, что вы смертельно больны, посещают вас всё чаще.;Pensamentos de doencas mortais vem a sua mente com mais frequencia do que o habitual.;你满脑子都是能够置人于死地的疾病。;Die Gedanken an tödliche Krankheiten kommen dir öfter als sonst in den Sinn.;;;;Myśli o ciężkich i śmiertelnych chorobach nawiedzają cię coraz częściej.;
;psychic_desc_end;psychic_desc_end;psychic_desc_end;psychic_desc_end;;;;psychic_desc_end;
;;;;;;;;;
;context_menu;context_menu;context_menu;context_menu;;;;context_menu;
1;Открыть;Abrir;打开;Öffnen;;;;Otwórz;
2;Закрыть;Fechar;关上;Schließen;;;;Zamknij;
3;Атаковать;Atacar;攻击;Angreifen;;;;Atakuj;
4;Взломать;Destrancar;开锁;Knacken;;;;Użyj Wytrychu;
5;Атаковать;Atacar;攻击;Angreifen;;;;Atakuj;
6;Осмотреть;Inspecionar;查看;Untersuchen;;;;Sprawdź;
7;Поднять;Pegar;拿起;Aufheben;;;;Podnieś;
8;Использовать;Usar;使用;Benutzen;;;;Użyj;
9;Съесть;Comer;吃;Essen;;;;Zjedz;
10;Выпить;Beber;喝;Trinken;;;;Wypij;
11;Применить;Aplicar;使用;Anwenden;;;;Nałóż;
12;Использовать;Usar;使用;Benutzen;;;;Użyj;
13;Выбросить;Derrubar;丢弃;Ablegen;;;;Wyrzuć;
14;Взаимодействовать;Interagir;互动;Interagieren;;;;Interakcja;
15;Экипировать;Equipamento;装备;Ausrüsten;;;;Wyposaż;
16;Починить;Reparar;修理;Reparieren;;;;Napraw;
17;Снять;Remover;移除;Entfernen;;;;Usuń;
18;Обезвредить;Disarmar;拆除;Entschärfen;;;;Rozbrój;
19;Проскочить;Desviar;躲避;Vermeiden;;;;Omiń;
20;Открыть (ключ);Abrir (Chave);打开（钥匙）;Öffnen (Schlüssel);;;;Otwórz (Kluczem);
21;Изучить;Inspecionar;查看;Untersuchen;;;;Sprawdź;
22;Опознать;Identificar;鉴定;Identifizieren;;;;Identyfikuj;
23;Прочесть;Ler;阅读;Lesen;;;;Czytaj;
24;Шанс проскочить:;Chance de Desviar:;躲避几率：;Ausweichen-Chance:;;;;Szansa na uniknięcie:;
25;Шанс обезвредить:;Chance de Desarmar:;拆除几率：;Entschärfen-Chance;;;;Szansa na rozbrojenie:;
26;Объединить;Misturar;归拢;Zusammenführen;;;;Połącz;
27;Переместить;Mover;移动;Bewegen;;;;Przenieś;
28;Осмотреть;Inspecionar;查看;Untersuchen;;;;Sprawdź;
29;Крикнуть;Gritar;高喊;Rufen;;;;Krzycz;
30;Отдыхать;Descancar;休息;Ruhen;;;;Odpocznij;
31;Режим скрытности;Furtividade;开始潜行;Schleichen aktivieren;;;;Skradaj się;
32;Режим атаки;Modo de Combate;攻击模式;Angriffsmodus;;;;Tryb Ataku;
33;Торговец ещё не открыл свою лавку;Esta loja nao est� aberta ainda;商店还没开始营业;Der Laden ist noch geschlossen;;;;Ten sklep nie jest jeszcze otwarty;
34;Метнуть;Arremessar;投掷;Werfen;;;;Rzuć;
35;Говорить;Conversa;交谈;Reden;;;;Rozmawiaj;
36;Не хватает денег;Dinheiro insuficiente;钱不够;Nicht genug Geld;;;;Za mało pieniędzy;
37;Персонажу неинтересны товары этой категории;Este personagem nao est� interessado neste tipo de produto;这个人对这种东西不感兴趣;Dieser Charakter ist an diese Art von Waren nicht interessiert;;;;Ta postać nie jest zainteresowana tego typu przedmiotami;
38;У персонажа не хватает денег;Este personagem nao tem dinheiro suficiente;这个人没有那么多钱;Dieser Charakter hat nicht genug Geld;;;;Ta postać nie ma wystarczająco pieniędzy;
39;Торговать;Com�rcio;交易;Handeln;;;;Handluj;
40;Купить;Comprar;买;Kaufen;;;;Kup;
41;Продать;Vender;卖;Verkaufen;;;;Sprzedaj;
42;Взять всё;Leve tudo;全部拿走;Alles Nehmen;;;;Weź wszystko;
43;Взять;Levar;拿走;Nehmen;;;;Weź;
44;Попить;Beber;喝;Trinken;;;;Pij;
45;Наполнить бурдюк;Encher a Garrafa;给水囊灌水;Wasserschlauch füllen;;;;Napełnij bukłak;
46;Уничтожить;Destruir;摧毁;Zerstören;;;;Zniszcz;
47;Провести ритуал;Realizar um ritual;举行仪式;Ein Ritual durchführen;;;;Odpraw rytuał;
48;Недостаточно места;Nao ha espaco suficiente;空间不够;Nicht genug Platz;;;;Za mało miejsca;
49;Перейти;Venture forth;勇敢向前;Vorwärts wagen;;;;Zaryzykuj;
50;Войти;Entrar;进入;Betreten;;;;Wejdź;
51;Выйти;Sair;离开;Verlassen;;;;Wejdź;
52;Подняться;Subir escadas;上楼;Nach oben gehen;;;;Do góry;
53;Спуститься;Descer escadas;下楼;Nacht unten gehen;;;;Na dół;
54;Разделить;Pilha dividida;分堆;Stapel teilen;;;;Rozdziel;
55;Перевязать;Curativo;绷带;Verband;;;;Bandażuj;
56;Использовать мазь;Aplicar pomada de cura;使用疗伤药膏;Heilsalbe anwenden;;;;Nałóż maść leczącą;
57;Наложить шину;Aplicar tala;使用夹板;Schiene anwenden;;;;Nałóż usztywniacz;
58;Прооперировать;Relizar cirurgia;动手术;Operation durchführen;;;;Wykonaj operację;
59;Лечить пиявками;Aplicar sanguessugas;使用水蛭;Blutegel anwenden;;;;Nałóż pijawki;
60;Нет расходников;Nao consumiveis;没有消耗品;Keine Verbrauchsgegenstände;;;;Brak używalnych przedmiotów;
61;Нельзя использовать при кровотечении;Nao pode ser usado em partes do corpo sangrando;出血部位不能使用;Kann nicht an blutenden Körperteilen verwendet werden;;;;Nie można użyć na krwawiących częściach ciała;
62;Эта часть тела не нуждается в лечении.;Esta parte do corpo nao necessita de tratamento.;这个部位无需治疗;Dieses Körperteil benötigt keine Behandlung.;;;;Ta część ciała nie wymaga leczenia lub zabiegów.;
63;Нет травмы;Nenhum ferimento;没有受伤;Keine Verletzungen;;;;Brak ran;
64;Нет кровотечения;Nenhum sangramento;没有出血;Keine Blutungen;;;;Brak krwawienia;
65;Поменяться местами;Troca;对调;Tauschen;;;;Zamień;
66;Прекратить отдых;Interromper descanco;休息结束;Ruhen beenden;;;;Zakończ odpoczynek;
67;Спать;Dormir;睡觉;Schlafen;;;;Śpij;
68;Вы не можете спать со смертельными эффектами.;Voce n�o pode dormir enquanto sofre de condicoes mortais.;不能睡觉，致命的负面状态正在影响你。;Du kannst nicht schlafen, wenn du unter tödlichen Schwächeanfällen leidest.;;;;Nie możesz spać cierpiąc na śmiertelne efekty negatywne.;
69;Осмотреть содержимое;Olhar dentro;看看里面;Hinein schauen;;;;Zajrzyj do środka;
70;Вы не можете переместить сюда предмет этого типа;Itens deste tipo nao podem ser movidos aqui;这种物品不能移到这里;Gegenstände dieser Art können nicht hierher bewegt werden;;;;Przedmioty tego typu nie mogą zostać umieszczone tutaj.;
71;Зажечь;Iniciar fogo;生火;Ein Feuer entzünden;;;;Rozpal ognisko;
72;Потушить;Apagar;扑灭;Ausmachen;;;;Zgaś;
73;Готовить;Cozinhar;做饭;Kochen;;;;Gotuj;
74;Требуется развести огонь;Voc� precisa iniciar o fogo;你需要生火;Du musst ein Feuer entzünden;;;;Musisz rozpalić ogień;
75;Разрушить валун;Destruir a pedra;摧毁巨石;Zerstöre den Stein;;;;Zniszcz głazy;
76;Чтобы воспользоваться кроватью, снимите комнату у трактирщика;Para usar a cama alugue o quarto com o proprietario da estalagem;先去酒馆老板那里付了房钱，才能上床睡觉。;Um das Bett zu benutzen, musst du den Raum vom Gastwirt mieten;;;;Chcąc używać łóżka musisz je najpierw wynająć u karczmarza.;
77;Нет подходящих ингредиентов;Voce nao tem ingredientes apropriados;原料不对;Du hast nicht die passenden Zutaten;;;;Nie masz odpowiednich składników.;
;context_menu_end;context_menu_end;context_menu_end;context_menu_end;;;;context_menu_end;
;;;;;;;;;
;button_hover;button_hover;button_hover;button_hover;;;;button_hover;
1;Меню игры;Menu do Jogo;游戏目录;Spielmenü;;;;Menu Główne;
2;Карта проходимости;Grade do Mapa;网格地图;Gitterkarte;;;;Mapa Pól;
3;Карта шума;Noise Map;声响地图;Geräuschkarte;;;;Mapa Hałasu;
4;Глобальная карта;Mapa Global;世界地图;Globale Karte;;;;Mapa Globalna;
5;Режимы;Modos;模式;Modi;;;;Tryby;
6;Пропуск хода;Pular Turno;跳过回合;Runde überspringen;;;;Pomiń Turę;
7;Инвентарь;Inventario;物品栏;Inventar;;;;Ekwipunek;
8;Умения;Habilidades;技能;Fertigkeiten;;;;Umiejętności;
9;Задания;Quests;任务;Aufträge;;;;Zadania;
10;Параметры игрока;Painel do Personagem;人物面板;Charakterfenster;;;;Panel Postaci;
11;Сменить вооружение;Trocar Armas;切换武器;Waffen wechseln;;;;Zmień Bronie;
12;Сменить панель;Trocar Barra de Atalho;切换快捷栏;Schnellzugriffsleiste wechseln;;;;Zmień Pasek;
13;ИГРАТЬ;JOGAR;开始游戏;SPIELEN;;;;GRAJ;
14;НАСТРОЙКИ;OPCOES;游戏设置;EINSTELLUNGEN;;;;USTAWIENIA;
15;ВЫХОД;SAIR;退出;BEENDEN;;;;WYJDŹ;
16;Нажмите ENTER, чтобы покинуть игру#Нажмите ESCAPE, чтобы вернуться назад;Pressione ENTER para sair do jogo#Pressione ESC para continuar jogando;按ENTER键退出游戏#按ESC键继续游戏;Drücke ENTER, um das Spiel zu verlassen.#Drücke ESC, um weiter zu spielen.;;;;Wciśnij ENTER by wyjść z gry#Wciśnij ESCAPE, by kontynuować;
17;НАЗАД;V0LTAR;返回;ZURÜCK;;;;WRÓĆ;
18;РУССКИЙ;Русский;Русский;RUSSISCH;;;;ROSYJSKI;
19;АНГЛИЙСКИЙ;ENGLISH;English;ENGLISCH;;;;ANGIELSKI;
20;НОВАЯ ИГРА;NOVO JOGO;新的游戏;NEUES SPIEL;;;;NOWA GRA;
21;ПРОДОЛЖИТЬ;CONTINUAR;继续游戏;WEITER;;;;KONTYNUUJ;
22;Закрыть;Fechar;关闭;Schließen;;;;Zamknij;
23;Взять все;Pegar Tudo;全部拿走;Alles nehmen;;;;Zbierz wszystko;
24;Общая громкость;Volume Principal;主音量;Gesamtlautstärke;;;;Głośność całkowita;
25;Громкость музыки;Musica;音乐;Musik;;;;Muzyka;
26;Громкость звуков;SFX;声效;Soundeffekte;;;;Efekty dźwiękowe;
27;Громкость диалогов;Dialogos;对话;Dialoge;;;;Dialogi;
28;Громкость окружения;Ambiente;环境;Umgebung;;;;Otoczenie;
29;Покачивание спрайтов;Sprite Wobbling;立绘摇晃;Spritewackeln;;;;Animacje sprite;
30;Всплывающие надписи;Pop-up Inscriptions;弹出文字;Pop-up Instruktionen;;;;Opisy typu pop-up;
31;Числа урона;Numero de Dano;伤害数值;Schadensnummern;;;;Liczby obrażeń;
32;Тряска экрана;Tremor da tela;屏幕振动;Bildschirmwackeln;;;;Wstrząsy kamery;
33;Полный экран;Tela Cheia;全屏;Vollbild;;;;Pełen ekran;
34;Закрытие инвентаря при закрытии контейнера;Feche o inventario apos fechar a aba de pilhagem;关闭战利窗口自动关闭物品栏;Inventar schließen, nachdem Beutefenster geschlossen wurde;;;;Zamknij ekwipunek po otwarciu łupu;
35;ИГРА;JOGO;游戏;SPIEL;;;;GRA;
36;ЗВУК;SOM;声音;SOUND;;;;DŹWIĘKI;
37;ВИДЕО;VIDEO;图像;VIDEO;;;;GRAFIKA;
38;УПРАВЛЕНИЕ;CONTROLES;键位;STEUERUNG;;;;STEROWANIE;
39;ПРИМЕНИТЬ;APLICAR;应用;ANWENDEN;;;;AKCEPTUJ;
40;ОТМЕНА;CANCELAR;取消;ABBRUCH;;;;ANULUJ;
41;ПО УМОЛЧАНИЮ;PADROES;恢复默认;STANDARD;;;;DOMYŚLNE;
42;Разрешение;Resolucao;分辨率;Auflösung;;;;Rodzielczość;
43;Поддержка других разрешений будет добавлена позже.;O suporte para outras resolucoes serao adicionadas futuramente;未来将支持其他的分辨率。;Unterstützung für anderen Auflösungen kommt später.;;;;Inne rozdzielczości będą obsługiwane wkrótce.;
44;Язык;Linguagem;语言;Sprache;;;;Język;
45;ГЛАВНОЕ МЕНЮ;MENU PRINCIPAL;主菜单;HAUPTMENÜ;;;;MENU GŁÓWNE;
46;Выйти в главное меню?;Retorne ao menu principal?;返回主菜单？;Zurück zum Hauptmenü?;;;;Powrócić do menu głównego?;
47;Выйти из игры?;Sair do jogo?;退出游戏？;Spiel verlassen?;;;;Wyjść z gry?;
48;Игра находится в ранней бета-версии.#Многие аспекты игры ещё не реализованы.#Некоторые механики и системы будут изменены и доработаны.;Este jogo esta em fase Beta. # Muitos aspectos do jogo ainda nao foram implementados. # Caracteristicas presentes estao sujeitas a mudanca.;游戏目前处于早期Beta测试阶段#游戏的许多玩法未来将会陆续实现#现有机制以后可能有所调整;Dieses Spiel befindet sich in der frühen Beta-Phase.#Viele Aspekte des Gameplays wurden noch nicht implementiert.#Vorhandene Funktionen können sich ändern.;;;;Ta gra znajduje się we wczesnej fazie Beta.#Wiele elementów mechaniki gry nie zostało ukończonych.#Aktualna treść gry może ulec zmianie.;
49;Вы действительно хотите выйти?;Voce realmente deseja cancelar?;确定取消？;Möchtest du wirklich abbrechen?;;;;Na pewno chcesz anulować?;
50;Восстановить значения по умолчанию?;Restaurar padroes?;确定恢复默认设置？;Standards wieder herstellen?;;;;Przywrócić ustawienia domyślne?;
51;АВТОРЫ;CREDITOS;制作人员;CREDITS;;;;LISTA TWÓRCÓW;
52;Сортировка;Autosort;自动整理;Autosort;;;;Automatyczne sortowanie;
53;Ремонт предметов из металла;Reparar itens de metal;修理金属物品;Metallgegenstände reparieren;;;;Napraw metalowe przedmioty;
54;Ремонт предметов из дерева;Reparar itens de madeira;修理木质物品;Holzgegenstände reparieren;;;;Napraw drewniane przedmioty;
55;Ремонт предметов из кожи и ткани;Reparar couro e tecido;修补皮革和布类物品;Leder- und Stoffgegenstände reparieren;;;;Napraw skórzane i płócienne przedmioty;
56;ЛОГ;REGISTRO;游戏日志;LOG;;;;DZIENNIK;
57;Скрытие крон деревьев при наведении;Hide tree crowns upon hovering;鼠标移至树木上方，树冠隐藏;Blende Baumkronen aus, wenn der Mauszeiger über ihnen ist;;;;Ukryj korony drzew po najechaniu kursorem;
58;НАЖМИТЕ ЛЮБУЮ КНОПКУ;PRESSIONE QUALQUER BOTAO;按任意按键;DRÜCKE EINE TASTE;;;;NACIŚNIJ JAKIKOLWIEK KLAWISZ;
59;ЗАГРУЗКА;CARREGAR JOGO;加载游戏;SPIEL LADEN;;;;WCZYTAJ GRĘ;
60;Предыдущий прогресс будет утерян, начать новую игру?;O progresso anterior sera perdido, voce quer iniciar um novo jogo?;此前保存的进度将丢失，确定开始新的游戏？;Gemachter Fortschritt geht verloren. Möchtest du ein neues Spiel starten?;;;;Poprzednia przygoda zostanie porzucona. Chcesz rozpocząć nową?;
61;V-sync;V-sync;垂直同步;V-Sync;;;;V-sync;
62;СПАТЬ;DORMIR;睡觉;SCHLAF;;;;SEN;
63;Эффекты;Efeitos;效果;Effekte;;;;Efekty;
64;Низкие;Baixo;低;Niedrig;;;;Niskie;
65;Средние;Medio;中;Mittel;;;;Średnie;
66;Высокие;Alto;高;Hoch;;;;Wysokie;
67;Атрибуты;Atributos;属性;Attribute;;;;Atrybuty;
68;Здоровье;Vida;生命;Gesundheit;;;;Zdrowie;
69;Черты;Tracos;特点;Eigenschaften;;;;Dodatki;
70;Биография;Bio;介绍;Biographie;;;;Biografia;
71;Вы погибли;Voce esta morto;你已死亡;Du Bist Tot;;;;Jesteś martwy;
72;УЖЕ ДОСТУПНО;AGORA DISPONIVEL;现已发售;JETZT VERFÜGBAR;;;;DODAJ GRĘ DO LISTY ŻYCZEŃ;
73;Создано на;Distribuido por;游戏引擎;Angetrieben von;;;;Napędzane przez;
74;Показывать подсказки;Mostrar dicas;显示提示;Tipps an/aus;;;;Włącz podpowiedzi;
75;СОЗДАТЬ ПЕРСОНАЖА;CRIAR PERSONAGEM;创建人物;CHARAKTER ERSTELLEN;;;;STWÓRZ;
76;ВЫБОР ПЕРСОНАЖА;SELECIONAR PERSONAGEM;选择人物;CHARAKTER AUSWÄHLEN;;;;WYBIERZ;
77;СКЛОННОСТИ;AFINIDADE;擅用武器;AFFINITÄT;;;;POWIĄZANIE;
