;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski
3;Старейшина %village_name% передал мне контракт от какого-то торговца, ограбленного бандитами из места под названием %dungeon_name%. Купец вёз некий алхимический набор и от меня требуется найти и вернуть его.;O ancião de %village_name% me passou o contrato do comerciante, que foi assaltado pelos bandidos que residiam em %dungeon_name%. O comerciante tinha um kit de alquimia com ele, e cabe a mim encontrá-lo e devolvê-lo.;有个商人被%dungeon_name%的土匪劫了货物，其中有一套重要的炼金器材。%village_name%的村长受他的维托，请我帮忙找回这套器材。;Der Älteste von %village_name% gab mir den Auftrag des Händlers, der von den am Ort %dungeon_name% ansässigen Banditen ausgeraubt wurde. Der Händler hatte eine Alchemieapparatur bei sich, und es ist meine Aufgabe, sie zu finden und zurückzugeben.;;;;;%village_name% ogłasza zlecenie na odnalezienie przedmiotów należących do okradzionego handlarza. Bandyci ukryli się gdzieś w miejscu oznaczonym na mapach jako %dunegon_name%. Handlarz posiadał ze sobą cenny zestaw alchemiczny, który starszy wioski pragnie odzyskać dla zleceniodawcy.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить главаря разбойников;Mate o Líder da Brigada;杀死土匪头目;Töte den Banditenanführer;;;;;Zabij Lidera bandytów.
6;Найти алхимический набор;Encontre o Kit de Alquimia;找到炼金器材;Finde die Alchemieapparatur;;;;;Znajdź Zestaw Alchemiczny.
7;Вернуть алхимический набор старейшине;Traga o Kit de Alquimia de Volta ao Ancião;将炼金器材交给村长;Bringe die Alchemieapparatur zurück zum Ältesten;;;;;Zwróć zestaw alchemiczny starszemu, by odebrać nagrodę.
;con_15;con_15;con_15;con_15;con_15;con_15;con_15;con_15;con_15
1;Рука беглеца;Mão do Fugitivo;逃犯的手;Hand des Flüchtigen;;;;;Ręka Dezertera
2;Не слыхал о беглом каторжнике по имени %boss_name%? Видать, тот ещё головорез, раз на его голову контракт аж из самого Бринна пришёл. Дозорные Магистрата говорят, будто он обосновался неподалёку, в месте под названием %dungeon_name%.#Дело серьёзное и твоего честного слова тут не хватит. Если хочешь награды, придётся тебе притащить его руку - на ней выжжено клеймо каторжника.;Você já ouviu falar de um condenado fugitivo, "%boss_name%"? Deve ser um vilão e tanto, se há uma recompensa de sua cabeça vindo de Brynn. Ouvi dos batedores do magistrado que ele tem um covil por perto, em %dungeon_name%.#Para ser franco, é uma situação séria, por isso sua palavra não será o suficiente. Se você quiser Reivindique a recompensa, terá que trazer a mão dele para mim - está marcada com a marca do condenado.;"你听说过""%boss_name%""这个名字吗？这人是个逃犯，布林悬赏追捕的逃犯，肯定是个十恶不赦的人渣。我听城市联盟的探子说，他在这附近的%dungeon_name%就有一个窝。#咱们丑话说在前面，这件事情非同小可，所以你要把他的手给我送过来才行。我不要你的一面之词，我要看到他那只烙了印的手，才能给你赏金。";Hast du vom entflohenen Sträfling gehört, "%boss_name%"? Muss ein ziemlicher Schurke sein, wenn auf ihn ein Kopfgeld ausgesetzt ist, das den ganzen Weg von Brynn hierher geschickt wurde. Ich habe von den Spähern des Magistrats gehört, dass er ein Versteck in der Nähe hat, in %dungeon_name%.#Um es ganz offen zu sagen, die Situation ist ernst, also wird dein Wort nicht ausreichen - wenn Du das Kopfgeld einfordern willst, musst du mir seine Hand bringen.;;;;;Udało ci się usłyszeć o niebezpiecznym zbiegu imieniem %boss_name%? Musiał być kawałem drania, skoro wyznaczono nagrodę za jego głowę, a samo zlecenie przyszło aż z Brynn. Słyszałem od zwiadowców Magistratu, że założył sobie norę w okolicy. Przejrzyj mapę i szukaj miejsca nazwanego %dungeon_name%.#To poważna sytuacja, więc twoje słowo o jego śmierci nie wystarczy. Jeżeli chcesz zgarnąć nagrodę za kontrakt, musisz dostarczyć jego rękę - ma wyraźny znak skazańca.
3;Старейшина %village_name% передал мне контракт на голову опасного разбойника по имение %boss_name%. Мне нужно отправиться в %dungeon_name%, убить его и принести старосте его кисть.;O ancião de %village_name% me passou a recompensa na cabeça de %boss_name%. Preciso encontrar o caminho para %dungeon_name%, matá-lo e levar a mão dele para o ancião.;%village_name%的村长把追杀%boss_name%的悬赏任务交给了我。我要进入%dungeon_name%，杀了逃犯，然后带着他的手去见村长。;Der Älteste von %village_name% übergab mir das Kopfgeldgesuch für %boss_name%. Ich muss den Weg zum Ort %dungeon_name% finden, den Sträfling töten und dem Ältesten seine Hand bringen.;;;;;Wieś %village_name% zleca poważne zadanie na zabicie groźnego uciekiniera imieniem %boss_name%. Konkretnie zleca dostarczenie jego ręki. Starszy wsi uważa, że bandzior kryje się gdzieś w miejscu znanym jako %dungeon_name%. By udowodnić jego likwidację należy przynieść starszemu rękę bandyty.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить главаря разбойников;Mate o Líder da Brigada;杀死土匪头目;Töte den Banditenanführer;;;;;Zabij Lidera bandytów.
6;Забрать трофей;Pegue o troféu;拿到逃犯的手;Nimm eine Trophäe;;;;;Zabierz trofeum.
7;Принести трофей старейшине;Traga o troféu para o ancião;带着囚犯的手去见村长;Bringe die Trophäe zum Ältesten;;;;;Pokaż trofeum starszemu, by odebrać nagrodę.
;con_16;con_16;con_16;con_16;con_16;con_16;con_16;con_16;con_16
1;Похищенный реликварий;Relicário roubado;圣物箱被抢;Gestohlenes Reliquiar;;;;;Skradziony Relikwiarz
2;Недавно шайка мародёров совершила лихой налёт на один монастырь. Перебили монахов да разграбили всё подчистую - даже тамошний реликварий с собой прихватили.#Совсем, видно, люди озверели, раз на святое посягаются. Впрочем, горбатого могила исправит, а в могилу сводить - это уже по твоей части.#Мы этих кощунников выследили: они залегли на дно в месте под названием %dungeon_name%. Надо бы преподать им урок: прикончить их старшого да реликварий вернуть на место. Берёшься?;Recentemente, um bando de assaltantes invadiu um monastério. Eles mataram todos os monges e limparam o local, e até levaram o relicário.#Roubando itens sagrados, agora isso é o novo nível mais baixo. No entanto, velhos hábitos são difíceis para algumas pessoas, então cabe a você matá-los.#Nós rastreamos esses profanadores - agora eles estão na/no %dungeon_name%. Preciso que você lhes ensine uma lição: mate o líder e traga o relicário de volta. Você está pronto para a tarefa?;最近，一群强盗冲进一座修院，杀了所有僧侣，将整个地方洗劫一空，连修院的圣物箱都没放过。#抢夺圣物，真是令人不齿。不过，俗话说得好，山河易改，本性难移，所以只能让你去干掉他们了。#我们查到了这群畜生的下落，眼下他们就藏在%dungeon_name%。你去帮我杀了那个头领，教训他们一番，再把圣物箱带回来。这活儿你干不干？;Kürzlich stürmte eine Bande von Plünderern eine Abtei. Sie ermordeten alle Mönche und räumten den Ort leer, sie nahmen sogar das Reliquiar mit.#Diebstahl von heiligen Gegenständen - das ist ein neuer Tiefpunkt. Doch alte Gewohnheiten sterben für manche Menschen nur schwer aus. Es liegt also an dir, sie zu töten.#Wir haben diese Schänder ausfindig gemacht - im Moment lagern sie am Ort %dungeon_name%. Du musst ihnen eine Lektion erteilen: Töte ihren Anführer und bring das Reliquiar zurück. Bist du der Aufgabe gewachsen?;;;;;Niedawno banda maruderów najechała monastyr. Wymordowali wszystkich mnichów i wyczyścili miejsce ze wszystkiego. Nawet zabrali trzymany tam relikwiarz.#Kradzież świętych przedmiotów, to nowy niski poziom. Jednakże, stare nawyki są dla niektórych zgubną drogą, więc to od ciebie zależy, by spotkała ich śmierć.#Wytropiliśmy tych plugawicieli - rozgościli się w miejscu nazwanym %dungeon_name%. Potrzebuję ciebie, by nauczyć ich lekcji - wypatrosz ich dowódcę i zwróć nam relikwiarz. Zgodzisz się na to?
3;Старейшина %village_name% рассказал, что в развалинах под названием %dungeon_name% обосновалась банда святотатцев, разграбивших одно из местных аббатств. Мне нужно убить их лидера и вернуть в деревню похищенный реликварий.;O ancião de %village_name% me contou sobre o bando de blasfemadores, que se abrigou na/no %dungeon_name% depois de invadir uma das abadias locais. Preciso matar o líder deles e trazer o relicário roubado de volta para a vila.;%village_name%的村长说有一群强盗洗劫本地一座修院，亵渎圣灵，目前躲在%dungeon_name%。我要干掉他们的头领，然后把他们抢走的圣物箱带回村里。;Der Älteste von %village_name% erzählte mir einer Gruppe von Gotteslästerern, die nach einem Überfall auf eine der örtlichen Abteien im Ort %dungeon_name% Unterschlupf fanden. Ich muss ihren Anführer töten und das gestohlene Reliquiar zurück ins Dorf bringen.;;;;;%village_name% ma zlecenie na bandę bluźnierców, którzy skryli się w miejscu oznaczonym na mapie jako %dungeon_name%. Skryli się tam po najechaniu tutejszego opactwa. Celem jest pozbycie się lidera oraz zwróćenie starszemu wioski skradzionego relikwiarza.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить главаря разбойников;Mate o Líder da Brigada;杀死强盗头目;Töte den Banditenanführer;;;;;Zabij Lidera bandytów.
6;Найти реликварий;Encontre o Relicário;找到圣物箱;Finde das Reliquiar;;;;;Znajdź Relikwiarz.
7;Вернуть реликварий старейшине;Traga o relicário de volta ao ancião;将圣物箱交给村长;Bringe das Reliquiar zurück zum Ältesten;;;;;Zwróć relikwiarz starszemu, by odebrać nagrodę.
;contracts_text_end;contracts_text_end;contracts_text_end;contracts_text_end;contracts_text_end;contracts_text_end;contracts_text_end;contracts_text_end;contracts_text_end
;;;;;;;;;
;village_names;village_names;village_names;village_names;village_names;village_names;village_names;village_names;village_names
;Осбрука;Osbrook;奥斯布鲁克;Osbrook;;;;;Osbrook
;Манншира;Mannshire;曼郡;Mannshire;;;;;Mannshire
;village_names_end;village_names_end;village_names_end;village_names_end;village_names_end;village_names_end;village_names_end;village_names_end;village_names_end
